Id,Type,Name,Description,Priority,Status,Date,Deadline
1,Project,"All Projects","",,,,
1.2,Project,"AB Coaching","",,,,
1.2.3,Task,"Посмотреть ответы Брайана","",2,,,
1.2.4,Task,"Какая структура команды на 10К/30К в день? (v.1 Заполнить файл Duties and Roles)","",2,,,
1.2.5,Task,"Есть ли флоу работы с чаржбэками, как обрабатываются эскалации из саппорта?   v1 And make sure you have Disputifier alerts setup to auto refund chargebacks below 100$. - вопрос про работу с чарджбэками и как строится работа, когда из СОПа саппорты следует обращение к менеджеру?","",2,,,
1.2.6,Task,"Добавить в еженедельные проверки работу с бестселлерами и ежемесячный убой зомби -50 баланс батч +50","",2,,,
1.2.7,Task,"Что за код 5.1 Launch the initial misrep campaign","",2,,,
1.2.8,Task,"Watch again 4.1 Google Merchant Center setup и сделать чеклист","",2,,,
1.2.9,Task,"Скачать видео и расшифровки АБ внутренний круг","[{""insert"":""То, что в чеклисте, еще недокачано""},{""attributes"":{""list"":""ordered""},""insert"":""\n""},{""insert"":""\n""}]",2,,,
1.2.9.10,Checklist,"1.5 SWOT analysis (EXTRA)",,,,,
1.2.9.11,Checklist,"9.7 Structure multiple Google stores (EXTRA)",,,,,
1.2.9.12,Checklist,"1.4 How to get SH!T done! (EXTRA)",,,,,
1.2.9.13,Checklist,"13.1 Peak Performance (Ray Nomden)",,,,,
1.2.9.14,Checklist,"12.2 Handle season switches",,,,,
1.2.9.15,Checklist,"10.3 Slash bank (for US LLC)",,,,,
1.2.9.16,Checklist,"9.6 Product quality checks (EXTRA)",,,,,
1.2.9.17,Checklist,"9.5 Track team hours with Hubstaff (EXTRA)",,,,,
1.2.9.18,Checklist,"12.1 Demand timeline",,,,,
1.2.9.19,Checklist,"14 13.0 Got a question? Drop it here13.1 Use notion to run your business13.2 Fix broken/dead links13.3 When to add the mediabuyer13.4 My PMAX is not spending, how to fix13.5 When to add Meta/Pinterest13.6 How to bulk edit products13.7 Buy local phone numbers for Google13.8 Using your Meta store for Google?13.9 How to use your competitor list13.10 What tools we use for AI products13.11 Fix a suspended ad account13.12 How many gmc’s per company?13.13 Setup Metafields on product imports13.14 GMC ID Verification (EXTRA)",,,,,
